Week,30 yr FRM,Year
6/11/1976,8.83,1976
6/18/1976,8.88,1976
6/25/1976,8.90,1976
7/2/1976,8.93,1976
7/9/1976,8.93,1976
7/16/1976,8.93,1976
7/23/1976,8.90,1976
7/30/1976,8.98,1976
8/6/1976,9.00,1976
8/13/1976,9.00,1976
8/20/1976,9.00,1976
8/27/1976,9.00,1976
9/3/1976,9.00,1976
9/10/1976,8.97,1976
9/17/1976,8.97,1976
9/24/1976,8.97,1976
10/1/1976,8.90,1976
10/8/1976,8.95,1976
10/15/1976,8.95,1976
10/22/1976,8.95,1976
10/29/1976,8.90,1976
11/5/1976,8.85,1976
11/12/1976,8.80,1976
11/19/1976,8.80,1976
11/26/1976,8.80,1976
12/3/1976,8.80,1976
12/10/1976,8.80,1976
12/17/1976,8.80,1976
12/24/1976,8.78,1976
12/31/1976,8.78,1976
1/7/1977,8.70,1977
1/14/1977,8.73,1977
1/21/1977,8.73,1977
1/28/1977,8.73,1977
2/4/1977,8.68,1977
2/11/1977,8.70,1977
2/18/1977,8.65,1977
2/25/1977,8.65,1977
3/4/1977,8.65,1977
3/11/1977,8.70,1977
3/18/1977,8.70,1977
3/25/1977,8.70,1977
4/1/1977,8.70,1977
4/8/1977,8.75,1977
4/15/1977,8.75,1977
4/22/1977,8.78,1977
4/29/1977,8.78,1977
5/6/1977,8.78,1977
5/13/1977,8.83,1977
5/20/1977,8.85,1977
5/27/1977,8.85,1977
6/3/1977,8.85,1977
6/10/1977,8.85,1977
6/17/1977,8.85,1977
6/24/1977,8.88,1977
7/1/1977,8.95,1977
7/8/1977,8.93,1977
7/15/1977,8.95,1977
7/22/1977,8.95,1977
7/29/1977,8.93,1977
8/5/1977,8.95,1977
8/12/1977,8.95,1977
8/19/1977,8.93,1977
8/26/1977,8.93,1977
9/2/1977,8.88,1977
9/9/1977,8.90,1977
9/16/1977,8.90,1977
9/23/1977,8.90,1977
9/30/1977,8.90,1977
10/7/1977,8.93,1977
10/14/1977,8.93,1977
10/21/1977,8.93,1977
10/28/1977,8.90,1977
11/4/1977,8.90,1977
11/11/1977,8.93,1977
11/18/1977,8.93,1977
11/25/1977,8.93,1977
12/2/1977,8.95,1977
12/9/1977,8.95,1977
12/16/1977,8.95,1977
12/23/1977,8.95,1977
12/30/1977,9.00,1977
1/6/1978,9.00,1978
1/13/1978,9.03,1978
1/20/1978,8.98,1978
1/27/1978,9.05,1978
2/3/1978,9.13,1978
2/10/1978,9.15,1978
2/17/1978,9.15,1978
2/24/1978,9.15,1978
3/3/1978,9.15,1978
3/10/1978,9.15,1978
3/17/1978,9.23,1978
3/24/1978,9.23,1978
3/31/1978,9.25,1978
4/7/1978,9.28,1978
4/14/1978,9.33,1978
4/21/1978,9.38,1978
4/28/1978,9.43,1978
5/5/1978,9.48,1978
5/12/1978,9.55,1978
5/19/1978,9.58,1978
5/26/1978,9.68,1978
6/2/1978,9.68,1978
6/9/1978,9.70,1978
6/16/1978,9.73,1978
6/23/1978,9.70,1978
6/30/1978,9.73,1978
7/7/1978,9.73,1978
7/14/1978,9.73,1978
7/21/1978,9.75,1978
7/28/1978,9.75,1978
8/4/1978,9.78,1978
8/11/1978,9.78,1978
8/18/1978,9.78,1978
8/25/1978,9.80,1978
9/1/1978,9.75,1978
9/8/1978,9.75,1978
9/15/1978,9.75,1978
9/22/1978,9.75,1978
9/29/1978,9.78,1978
10/6/1978,9.85,1978
10/13/1978,9.85,1978
10/20/1978,9.85,1978
10/27/1978,9.88,1978
11/3/1978,9.90,1978
11/10/1978,10.05,1978
11/17/1978,10.20,1978
11/24/1978,10.28,1978
12/1/1978,10.30,1978
12/8/1978,10.35,1978
12/15/1978,10.35,1978
12/22/1978,10.35,1978
12/29/1978,10.38,1978
1/5/1979,10.38,1979
1/12/1979,10.38,1979
1/19/1979,10.40,1979
1/26/1979,10.40,1979
2/2/1979,10.40,1979
2/9/1979,10.43,1979
2/16/1979,10.40,1979
2/23/1979,10.40,1979
3/2/1979,10.43,1979
3/9/1979,10.40,1979
3/16/1979,10.40,1979
3/23/1979,10.45,1979
3/30/1979,10.45,1979
4/6/1979,10.48,1979
4/13/1979,10.48,1979
4/20/1979,10.50,1979
